,cc,data_id,iso,event_id_cnty,event_id_no_cnty,event_date,date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3,Cons,BokoHaram,is_urban
982,366423,4876262,566,NIG6125,6125,6/07/2014,41826,2014,1,Battles,Government regains territory,Military Forces of Nigeria (1999-2015),,1,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,13,Western Africa,Nigeria,Borno,Gwoza,Wala Waraba,Sambisa Forest Reserve,11.25,13.4167,2,This Day (Lagos),Subnational,"Nigerian military in its latest offensive against Boko Haram Islamic Sect has cleared and taken over Balmo forest (a portion of Sambisa, including Banki and Miyanti) in an operation that lasted throughout the weekend (2 days, presumably). Six soldiers and 44 Boko Haram fighters reportedly killed in the Kerenoa, Banki and Miyanti areas.",17,1552577413,NGA,80191,1,False
983,366424,4876263,566,NIG6124,6124,6/07/2014,41826,2014,1,Battles,Armed clash,Military Forces of Nigeria (1999-2015),,1,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,13,Western Africa,Nigeria,Kaduna,Kaduna South,,Kaduna South,10.4751,7.4196,1,Daily Independent (Lagos),Subnational,"A suspected member of Boko Haram (later identified as a ""kingpin"" is killed in a shootout with security operatives in the Kinkino area of Kaduna South. The gun exchange was said to have lasted for a few hours, causing panic among the residents of the area.",1,1552577413,NGA,80192,1,True
984,366301,5131368,120,CAO274,274,8/07/2014,41828,2014,1,Battles,Armed clash,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,2,Police Forces of Cameroon (1982-),,1,12,Middle Africa,Cameroon,Extreme-Nord,Logone-Et-Chari,Waza,Zina,11.2623,14.9653,1,Cameroon Tribune (Yaounde),National,"Thirty Boko Haram members arrived in Zina by motorcycle and surrounded the residence of the sub-prefect; they released their comrades imprisoned there, wounded a sergeant on duty, and stole weapons and ammunition",0,1555958740,CMR,80097,1,False
985,366335,4876166,566,NIG6136,6136,8/07/2014,41828,2014,1,Violence against civilians,Attack,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,Civilians (Nigeria),,7,37,Western Africa,Nigeria,Borno,Gwoza,Ngoshe,Gwoza,11.084000000000001,13.6925,2,Nigeria Guardian,National,"Gunmen suspected to be Boko Haram sect members attacked two border villages of Kwatara and Takaskala in Gwoza Local Council of Borno State, killing three passengers in two vehicles and injuring four others. Gwoza is a border town with Cameroun.",3,1552577413,NGA,80128,1,True
986,366255,4876108,566,NIG6142,6142,9/07/2014,41829,2014,1,Battles,Armed clash,Military Forces of Nigeria (1999-2015),,1,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,13,Western Africa,Nigeria,Borno,Guzamala,,Bulabulin,12.6611,13.2795,2,Daily Trust (Abuja),Subnational,"Gunmen suspected to be Boko Haram members ambushed soldiers from the 7 Division of the Nigerian Army who were on their way to Damboa, 85 kilometers from Maiduguri. Sources said two soldiers were feared killed while some of them were injured. The soldiers were ambushed near Kwamala village after Dalwa. Other report that ""scores"" of Boko Haram agents were killed in the battle.",2,1552577413,NGA,80065,1,False
987,366101,5131369,120,CAO275,275,11/07/2014,41831,2014,1,Battles,Armed clash,Military Forces of Cameroon (1982-),,1,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,2,12,Middle Africa,Cameroon,Extreme-Nord,Mayo-Sava,Kolofata,Bonderi,11.2336,14.0134,2,Leadership (Abuja); Africa Confidential,Subnational-regional,"Cameroonian soldiers clashed with Boko Haram militants on a cross-border on Bonderi village for about half an hour, during which one Cameroonian soldier and ""a number of militants"" were wounded; the militants retreated back to Nigeria afterwards. An army vehicles and a number of weapons were stolen.",0,1555958740,CMR,79967,1,False
988,366082,4875941,566,NIG6146,6146,12/07/2014,41832,2014,1,Explosions/Remote violence,Remote explosive/landmine/IED,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,Civilians (Nigeria),,7,37,Western Africa,Nigeria,Borno,Damboa,Damboa Central,Damboa,11.155999999999999,12.7576,2,Associated Press,International,"Suspected Boko Haram bombed a major bridge on a northeast Nigerian highway during the evening hours, further limiting access to base camps in the Sambisa Forest where scores of kidnapped girls are believed to be held captive. The bridge is located between Biu and Maiduguri (Damboa is located roughly half-way between the two towns.) Causalities if any not reported - it is not clear if theyre was traffic on the bridge at the time.",0,1552577412,NGA,79953,1,True
989,366036,4875866,566,NIG6148,6148,13/07/2014,41833,2014,1,Violence against civilians,Attack,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,Civilians (Nigeria),,7,37,Western Africa,Nigeria,Adamawa,Madagali,Madagali,Buttuku,10.8959,13.3842,1,Daily Trust (Abuja),Subnational,Suspected Boko Haram attacks Butuku village killing an unspecified number of people.,5,1552577412,NGA,79931,1,False
992,365975,4875809,566,NIG6152,6152,14/07/2014,41834,2014,1,Violence against civilians,Attack,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,Civilians (Nigeria),,7,37,Western Africa,Nigeria,Borno,Biu,,Biu,10.6129,12.1946,2,Vanguard (Lagos),Subnational,"Boko Haram gunmen attack Mandafuma village of Biu LGA, injuring one person while property worth millions of Naira destroyed.",0,1552577412,NGA,79891,1,True
991,365974,4875807,566,NIG6151,6151,14/07/2014,41834,2014,1,Violence against civilians,Attack,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,Civilians (Nigeria),,7,37,Western Africa,Nigeria,Borno,Askira/Uba,Dille Huyim,Dille,10.7563,13.2129,1,Leadership (Abuja),Subnational,"Dille village in Askira Uba Local government of Borno State came under heavy attack at the early hours of the day (6am) when gunmen suspected to be Boko Haram members launched an offensive on residents, killing five people and torching houses, including three churches. Daily Trust claims 38 deaths as result of the attack, others 26, tough these numbers could be included in a military air raid used to repel the attackers following the attack.",5,1552577412,NGA,79890,1,False
